namespace,start_time,end_time,node,pod,memory_bytes_limit,cpu_core_limit,machine_spot_or_on_demand,instance_type,instance_hourly_cost,cost_assumptions_memory_percentage,cost_assumptions_cpu_percentage,instance_markup,instance_total_memory,instance_total_cpu,cost_per_min_total,cost_per_min_memory,cost_per_min_cpu
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-clouddriver-bootstrap-v000-bxtfg,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-clouddriver-v000-kqmtw,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-deck-v000-45m4n,2097152000,4.0,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.000680165817203438210526711404924071757704950869083404541015625,0.000078165817203438255132523504453700979865971021354198455810546875,0.000601999999999999996051769368676787053118459880352020263671875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-echo-v000-smh8r,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-front50-v000-gh4z9,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-gate-v000-9jsdc,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-igor-v000-k2ljt,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-orca-bootstrap-v000-l6tdz,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-orca-v000-zn7sp,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-redis-bootstrap-v000-v6cx9,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-redis-v000-xj6zv,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-rosco-v000-9pgd8,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-dev,1515974400,1515974460,ip-10-151-22-218.ec2.internal,temy-v004-bc8hq,536870912,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00009526044920408018902568958452548031345941126346588134765625,0.0000200104492040801962954819914752846443661837838590145111083984375,0.000075249999999999999506471171084598381639807485044002532958984375
gawkbox-dev,1515974400,1515974460,ip-10-151-22-101.ec2.internal,tintin-v007-q6f8r,536870912,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00009526044920408018902568958452548031345941126346588134765625,0.0000200104492040801962954819914752846443661837838590145111083984375,0.000075249999999999999506471171084598381639807485044002532958984375
gawkbox-dev,1515974400,1515974460,ip-10-151-22-218.ec2.internal,tintin-v007-95wg8,536870912,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00009526044920408018902568958452548031345941126346588134765625,0.0000200104492040801962954819914752846443661837838590145111083984375,0.000075249999999999999506471171084598381639807485044002532958984375
garland,1515974400,1515974460,ip-10-151-22-218.ec2.internal,butterfly-1-nvc2t,262144000,1.0,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.0001602707271504297758223100967001073513529263436794281005859375,0.000009770727150429781891565438056712622483246377669274806976318359375,0.00015049999999999999901294234216919676327961497008800506591796875
